"","date","year","month","area","allAveragePrice","numofsales","detachedAveragePrice","detachedNumberofSales","semidetachedAveragePrice","semidetachedNumberofSales","attachedAveragePrice","attachedNumberofSales","condotownhouseAveragePrice","condotownhouseNumberofSales","condoapartmentAveragePrice","condoapartmentNumberofSales"
"1","01-2012",12,"1","Adjala-Tosorontio",500114,7,"500114","7","-","-","-","-","-","-","-","-"
"2","01-2012",12,"1","Ajax",360844,113,"403918","76","303333","9","214583","6","197475","4","292789","18"
"3","01-2012",12,"1","Aurora",611050,36,"699987","23","374400","5","625833","3","450000","1","424650","4"
"4","01-2012",12,"1","Bradford West Gwillimbury",365748,42,"406640","28","313600","5","219750","2","190000","1","335000","1"
"5","01-2012",12,"1","Brampton",386210,491,"453558","264","356932","101","237821","28","205677","43","331304","53"
"6","01-2012",12,"1","Brock",252489,9,"255175","8","-","-","231000","1","-","-","-","-"
"7","01-2012",12,"1","Burlington",424624,34,"556633","15","392000","2","275733","6","276900","5","382825","4"
"8","01-2012",12,"1","Caledon",620934,32,"666333","27","388500","4","-","-","-","-","324900","1"
"9","01-2012",12,"1","City of Toronto",499045,1705,"743993","559","526599","157","332827","133","343835","775","578673","61"
"10","01-2012",12,"1","City of Toronto Total",499045,1705,"743993","559","526599","157","332827","133","343835","775","578673","61"
"11","01-2012",12,"1","Clarington",284590,83,"309035","57","197500","2","200080","5","216717","3","218833","6"
"12","01-2012",12,"1","Dufferin County",301794,35,"331072","25","247333","3","196250","4","244500","2","-","-"
"13","01-2012",12,"1","Durham Region",318668,582,"349296","409","257313","38","205927","45","212845","19","275748","54"
"14","01-2012",12,"1","East Gwillimbury",409178,9,"435575","8","-","-","-","-","198000","1","-","-"
"15","01-2012",12,"1","Essa",282874,8,"288141","7","-","-","-","-","-","-","246000","1"
"16","01-2012",12,"1","Georgina",264268,41,"271871","31","361000","2","172000","3","141000","1","257000","4"
"17","01-2012",12,"1","Halton Hills",414713,54,"456558","40","366450","4","228833","6","272500","1","340300","3"
"18","01-2012",12,"1","Halton Region",491561,292,"582215","170","397472","25","294120","25","324531","16","394972","53"
"19","01-2012",12,"1","Innisfil",306448,21,"319578","18","-","-","-","-","-","-","227667","3"
"20","01-2012",12,"1","King",796963,19,"850729","17","-","-","-","-","284900","1","-","-"
"21","01-2012",12,"1","Markham",542873,216,"726728","90","458545","22","400593","14","336991","46","448684","25"
"22","01-2012",12,"1","Milton",433312,86,"508997","44","386231","13","276333","3","293500","1","349020","25"
"23","01-2012",12,"1","Mississauga",433824,537,"673057","165","412715","99","317189","88","259296","153","426913","23"
"24","01-2012",12,"1","New Tecumseth",301657,22,"317847","16","-","-","175633","3","-","-","233500","2"
"25","01-2012",12,"1","Newmarket",426393,70,"482277","44","362722","9","281333","3","205333","3","356430","10"
"26","01-2012",12,"1","Oakville",588469,118,"703787","71","444333","6","349660","10","360222","9","459800","21"
"27","01-2012",12,"1","Orangeville",301794,35,"331072","25","247333","3","196250","4","244500","2","-","-"
"28","01-2012",12,"1","Oshawa",252657,157,"274032","119","206794","16","155977","15","186667","3","196300","3"
"29","01-2012",12,"1","Peel Region",417417,1060,"545581","456","384622","204","298032","116","247533","196","359779","77"
"30","01-2012",12,"1","Pickering",393346,65,"510045","31","328957","7","252877","13","271625","4","308813","8"
"31","01-2012",12,"1","Richmond Hill",646798,162,"886122","83","468667","6","355622","9","291790","29","474059","29"
"32","01-2012",12,"1","Scugog",311450,18,"311450","18","-","-","-","-","-","-","-","-"
"33","01-2012",12,"1","Simcoe County",341971,100,"365022","76","313600","5","193280","5","190000","1","247286","7"
"34","01-2012",12,"1","Toronto C01",439247,193,"816989","3","687513","8","433988","8","409874","167","787283","6"
"35","01-2012",12,"1","Toronto C02",951361,36,"1080077","13","1135500","4","495000","1","824765","17","1150000","1"
"36","01-2012",12,"1","Toronto C03",843867,27,"1446688","8","493000","11","-","-","633483","6","1720000","1"
"37","01-2012",12,"1","Toronto C04",942962,62,"1112518","44","795743","7","-","-","373716","10","-","-"
"38","01-2012",12,"1","Toronto C06",580880,21,"819291","11","-","-","392000","1","310477","9","-","-"
"39","01-2012",12,"1","Toronto C07",610461,66,"960612","25","502500","2","342000","1","351946","35","870000","3"
"40","01-2012",12,"1","Toronto C08",428130,76,"1300000","1","719750","4","448895","3","386266","65","634967","3"
"41","01-2012",12,"1","Toronto C09",976857,14,"1266000","5","1173500","2","-","-","719250","4","1617000","1"
"42","01-2012",12,"1","Toronto C10",661928,30,"1099511","9","880000","1","413000","1","456276","19","-","-"
"43","01-2012",12,"1","Toronto C11",458604,28,"1246333","6","-","-","221000","3","226661","18","620000","1"
"44","01-2012",12,"1","Toronto C12",1660500,17,"2147375","12","-","-","581667","3","357500","2","-","-"
"45","01-2012",12,"1","Toronto C13",621817,44,"1264234","13","445800","5","289250","2","335235","23","407000","1"
"46","01-2012",12,"1","Toronto C14",560081,84,"1108529","17","-","-","478780","10","398709","55","742500","2"
"47","01-2012",12,"1","Toronto C15",562109,72,"979345","22","508625","4","350963","14","372308","30","-","-"
"48","01-2012",12,"1","Toronto Central",616598,770,"1151542","189","675204","48","407412","47","407342","460","854611","19"
"49","01-2012",12,"1","Toronto E01",509848,42,"613579","14","542192","13","368600","5","386500","8","420000","2"
"50","01-2012",12,"1","Toronto E02",594198,45,"800731","13","514319","21","551000","2","426350","4","600450","4"
"51","01-2012",12,"1","Toronto E03",474569,58,"544967","31","544318","14","147800","1","198822","9","357800","3"
"52","01-2012",12,"1","Toronto E04",336706,64,"428029","31","362125","4","328813","8","170389","19","481944","2"
"53","01-2012",12,"1","Toronto E05",386795,40,"572672","11","432950","2","294300","8","241583","12","409367","3"
"54","01-2012",12,"1","Toronto E06",382770,20,"398838","16","319000","2","-","-","318000","2","-","-"
"55","01-2012",12,"1","Toronto E07",366043,53,"520900","19","418422","4","309833","3","235152","23","323500","2"
"56","01-2012",12,"1","Toronto E08",498986,28,"759714","14","370000","1","250620","5","214063","8","-","-"
"57","01-2012",12,"1","Toronto E09",296896,68,"407792","24","-","-","177333","3","240730","41","-","-"
"58","01-2012",12,"1","Toronto E10",385669,33,"463800","24","330000","1","200250","4","116222","4","-","-"
"59","01-2012",12,"1","Toronto E11",305033,51,"426973","15","385750","4","229615","13","190890","10","296150","8"
"60","01-2012",12,"1","Toronto East",402786,502,"517449","212","489981","66","280352","52","233742","140","396808","24"
"61","01-2012",12,"1","Toronto W01",532024,17,"810500","4","840000","1","430467","3","407889","9","-","-"
"62","01-2012",12,"1","Toronto W02",465191,41,"620634","9","513500","10","369515","7","351654","13","597000","2"
"63","01-2012",12,"1","Toronto W03",340510,42,"353727","22","396375","12","-","-","220363","8","-","-"
"64","01-2012",12,"1","Toronto W04",298056,46,"459159","17","380000","1","240000","2","183800","25","449888","1"
"65","01-2012",12,"1","Toronto W05",338206,54,"517964","14","364567","15","233318","11","183450","12","387600","2"
"66","01-2012",12,"1","Toronto W06",408830,57,"528300","16","362000","1","381247","2","326355","31","586167","6"
"67","01-2012",12,"1","Toronto W07",632188,16,"775800","10","-","-","-","-","298333","3","487333","3"
"68","01-2012",12,"1","Toronto W08",508764,83,"774563","32","-","-","370398","6","322780","41","615000","3"
"69","01-2012",12,"1","Toronto W09",367394,28,"569752","14","-","-","370000","1","147625","12","-","-"
"70","01-2012",12,"1","Toronto W10",276886,49,"395550","20","328500","3","129950","2","169129","21","295000","1"
"71","01-2012",12,"1","Toronto West",401599,433,"560451","158","416919","43","309979","34","264977","175","529894","18"
"72","01-2012",12,"1","TRREB Total",463534,4567,"586098","2136","424952","493","304296","363","321475","1126","414790","362"
"73","01-2012",12,"1","TRREB Total",463534,4567,"586098","2136","424952","493","304296","363","321475","1126","414790","362"
"74","01-2012",12,"1","Uxbridge",428079,17,"447690","15","-","-","283000","1","-","-","-","-"
"75","01-2012",12,"1","Vaughan",616647,204,"756535","119","485425","10","401433","3","326361","35","492491","35"
"76","01-2012",12,"1","Whitby",338982,120,"373709","85","260375","4","209440","4","191500","5","276201","19"
"77","01-2012",12,"1","Whitchurch-Stouffville",570132,36,"642148","26","389286","7","-","-","-","-","367967","3"
"78","01-2012",12,"1","York Region",567299,793,"701524","441","431766","61","378591","35","316889","117","450880","110"
"79","01-2013",13,"1","Adjala-Tosorontio",537111,8,"537111","8","-","-","-","-","-","-","-","-"
"80","01-2013",13,"1","Ajax",355987,96,"401828","52","347633","9","286000","3","224113","8","319105","20"
"81","01-2013",13,"1","Aurora",537477,42,"625480","25","439725","4","421600","4","165000","1","411679","7"
"82","01-2013",13,"1","Bradford West Gwillimbury",394978,40,"431294","27","299800","4","275000","1","-","-","325500","2"
"83","01-2013",13,"1","Brampton",408486,431,"482679","228","357718","101","257776","25","199340","25","355336","50"
"84","01-2013",13,"1","Brock",264989,9,"264989","9","-","-","-","-","-","-","-","-"
"85","01-2013",13,"1","Burlington",496050,55,"613752","28","448380","5","381286","7","252350","4","384450","8"
"86","01-2013",13,"1","Caledon",536382,34,"559572","28","403667","3","-","-","-","-","379000","2"
"87","01-2013",13,"1","City of Toronto",507859,1559,"765049","502","586080","147","357625","110","340295","730","537370","56"
"88","01-2013",13,"1","City of Toronto Total",507859,1559,"765049","502","586080","147","357625","110","340295","730","537370","56"
"89","01-2013",13,"1","Clarington",282742,89,"305886","64","208000","1","152000","1","165100","5","241396","12"
"90","01-2013",13,"1","Dufferin County",306156,27,"340378","18","244200","2","184250","2","231000","2","273500","3"
"91","01-2013",13,"1","Durham Region",333652,508,"370063","345","257841","34","222297","30","220554","26","285910","54"
"92","01-2013",13,"1","East Gwillimbury",452062,21,"467189","18","425000","1","-","-","-","-","329450","2"
"93","01-2013",13,"1","Essa",288500,9,"288500","9","-","-","-","-","-","-","-","-"
"94","01-2013",13,"1","Georgina",300938,44,"308400","40","-","-","-","-","140000","1","255086","3"
"95","01-2013",13,"1","Halton Hills",427560,57,"454737","44","360800","4","288000","3","207750","2","409950","4"
"96","01-2013",13,"1","Halton Region",550095,340,"650482","216","416582","25","334370","20","257450","14","396755","60"
"97","01-2013",13,"1","Innisfil",333500,22,"333500","22","-","-","-","-","-","-","-","-"
"98","01-2013",13,"1","King",521990,10,"569557","7","-","-","-","-","-","-","-","-"
"99","01-2013",13,"1","Markham",599582,204,"785334","99","480368","16","414293","16","317262","33","465254","24"
"100","01-2013",13,"1","Milton",456328,106,"535563","57","408145","10","305067","6","267950","2","367610","31"
"101","01-2013",13,"1","Mississauga",441441,543,"687429","165","435995","88","323971","86","258993","160","413819","37"
"102","01-2013",13,"1","New Tecumseth",313767,33,"339973","22","225000","3","-","-","-","-","243980","5"
"103","01-2013",13,"1","Newmarket",458322,65,"496270","46","374000","8","313750","2","293000","2","400333","6"
"104","01-2013",13,"1","Oakville",713180,122,"836592","87","441333","6","331000","4","273917","6","452588","17"
"105","01-2013",13,"1","Orangeville",306156,27,"340378","18","244200","2","184250","2","231000","2","273500","3"
"106","01-2013",13,"1","Oshawa",271493,124,"307248","90","198027","15","139000","11","125000","2","181300","3"
"107","01-2013",13,"1","Peel Region",430553,1008,"568040","421","394313","192","309062","111","250932","185","380181","89"
"108","01-2013",13,"1","Pickering",403642,59,"462483","38","406000","1","280333","9","292700","5","308000","6"
"109","01-2013",13,"1","Richmond Hill",683102,182,"856411","112","503480","5","355992","12","296848","23","488858","26"
"110","01-2013",13,"1","Scugog",380900,16,"411646","13","231500","2","-","-","-","-","-","-"
"111","01-2013",13,"1","Simcoe County",360570,112,"379031","88","267743","7","275000","1","-","-","267271","7"
"112","01-2013",13,"1","Toronto C01",444565,186,"996000","2","871455","11","432091","11","403082","159","756000","3"
"113","01-2013",13,"1","Toronto C02",1027473,26,"1450538","8","1292000","4","-","-","732846","13","415000","1"
"114","01-2013",13,"1","Toronto C03",611082,17,"758432","9","554700","5","-","-","345000","1","-","-"
"115","01-2013",13,"1","Toronto C04",1051169,44,"1258528","33","805029","1","-","-","377813","8","662500","1"
"116","01-2013",13,"1","Toronto C06",585564,14,"853143","7","-","-","-","-","317986","7","-","-"
"117","01-2013",13,"1","Toronto C07",523501,62,"916642","18","514750","4","401333","3","330129","36","809888","1"
"118","01-2013",13,"1","Toronto C08",447117,63,"-","-","851250","4","332000","1","402080","55","772333","3"
"119","01-2013",13,"1","Toronto C09",1481385,13,"1959000","8","-","-","997000","1","647250","4","-","-"
"120","01-2013",13,"1","Toronto C10",553230,35,"1013667","3","673333","3","595475","4","452506","24","1060000","1"
"121","01-2013",13,"1","Toronto C11",527215,24,"1252000","5","735000","4","169000","1","234584","14","-","-"
"122","01-2013",13,"1","Toronto C12",1841136,14,"2204500","10","-","-","849950","2","1015500","2","-","-"
"123","01-2013",13,"1","Toronto C13",655673,37,"1316000","11","485333","6","396000","3","301127","15","583500","2"
"124","01-2013",13,"1","Toronto C14",567313,99,"1168085","20","688000","1","607340","5","376429","69","776000","4"
"125","01-2013",13,"1","Toronto C15",495928,72,"794625","20","499671","7","398833","6","357015","39","-","-"
"126","01-2013",13,"1","Toronto Central",606299,706,"1202424","154","717085","50","490662","37","395489","446","737712","16"
"127","01-2013",13,"1","Toronto E01",590219,36,"648454","13","618533","15","410500","1","333500","4","598500","3"
"128","01-2013",13,"1","Toronto E02",737316,25,"793454","13","735000","8","290000","1","663000","1","642500","2"
"129","01-2013",13,"1","Toronto E03",520216,51,"571452","31","563155","11","-","-","250538","8","617000","1"
"130","01-2013",13,"1","Toronto E04",358491,70,"440673","39","432600","5","278644","9","162522","14","425500","2"
"131","01-2013",13,"1","Toronto E05",371841,41,"635780","10","-","-","313589","9","251652","19","394500","2"
"132","01-2013",13,"1","Toronto E06",430913,16,"449114","14","375000","1","-","-","232000","1","-","-"
"133","01-2013",13,"1","Toronto E07",357845,46,"632391","11","425698","5","312500","4","226830","23","373000","1"
"134","01-2013",13,"1","Toronto E08",437909,35,"741768","14","-","-","161450","2","231069","17","345500","2"
"135","01-2013",13,"1","Toronto E09",314734,57,"411389","22","341750","2","216904","3","247417","29","380000","1"
"136","01-2013",13,"1","Toronto E10",486343,28,"628382","17","349333","3","239000","2","153750","4","397050","2"
"137","01-2013",13,"1","Toronto E11",316286,56,"458750","16","340833","6","271611","9","161071","14","316563","8"
"138","01-2013",13,"1","Toronto East",421916,461,"553528","200","532066","56","279418","40","227465","134","421171","24"
"139","01-2013",13,"1","Toronto W01",451965,17,"1210000","1","529000","1","297500","3","395536","11","701000","1"
"140","01-2013",13,"1","Toronto W02",544032,37,"667909","11","606991","11","518000","4","291614","7","498000","4"
"141","01-2013",13,"1","Toronto W03",417000,39,"456158","19","493800","10","260000","1","240375","8","475000","1"
"142","01-2013",13,"1","Toronto W04",404370,33,"559341","17","442500","1","320000","2","194242","12","422000","1"
"143","01-2013",13,"1","Toronto W05",393351,48,"587029","17","414255","10","207700","7","212211","9","394667","3"
"144","01-2013",13,"1","Toronto W06",430129,48,"490181","11","608333","3","439933","3","390462","29","580000","1"
"145","01-2013",13,"1","Toronto W07",659161,14,"775688","8","-","-","-","-","348250","2","581563","4"
"146","01-2013",13,"1","Toronto W08",514742,69,"781697","29","-","-","425433","3","307519","36","501000","1"
"147","01-2013",13,"1","Toronto W09",366478,37,"575967","15","425950","2","350000","3","165613","16","-","-"
"148","01-2013",13,"1","Toronto W10",278977,50,"427848","20","366000","3","149000","7","162545","20","-","-"
"149","01-2013",13,"1","Toronto West",431635,392,"595780","148","500094","41","303258","33","276982","150","511328","16"
"150","01-2013",13,"1","TRREB Total",482648,4375,"612252","2081","452456","471","327908","312","318542","1051","411757","373"
"151","01-2013",13,"1","Uxbridge",484691,11,"498410","10","-","-","347500","1","-","-","-","-"
"152","01-2013",13,"1","Vaughan",626865,211,"779716","116","495587","23","362125","4","351796","34","497883","30"
"153","01-2013",13,"1","Whitby",373707,104,"423955","69","265083","6","251880","5","233750","6","289877","13"
"154","01-2013",13,"1","Whitchurch-Stouffville",510266,42,"568925","28","417614","7","-","-","-","-","366667","6"
"155","01-2013",13,"1","York Region",585455,821,"699065","491","464078","64","385868","38","320736","94","458854","104"
"156","01-2014",14,"1","Adjala-Tosorontio",431000,9,"431000","9","-","-","-","-","-","-","-","-"
"157","01-2014",14,"1","Ajax",397664,88,"447953","49","353700","14","289525","4","229133","3","348082","17"
"158","01-2014",14,"1","Aurora",662207,33,"768443","22","440288","2","539750","2","397333","3","448750","4"
"159","01-2014",14,"1","Bradford West Gwillimbury",437704,26,"486841","17","347000","4","-","-","-","-","355000","3"
"160","01-2014",14,"1","Brampton",408883,403,"471541","208","380758","84","273386","29","222173","26","371507","53"
"161","01-2014",14,"1","Brock",241167,9,"241167","9","-","-","-","-","-","-","-","-"
"162","01-2014",14,"1","Burlington",598051,67,"758430","39","521200","5","337400","9","295556","9","430750","4"
"163","01-2014",14,"1","Caledon",589933,45,"635466","35","436400","2","-","-","-","-","393150","6"
"164","01-2014",14,"1","City of Toronto",552395,1551,"888210","463","622319","134","335743","106","366020","767","600986","68"
"165","01-2014",14,"1","City of Toronto Total",552395,1551,"888210","463","622319","134","335743","106","366020","767","600986","68"
"166","01-2014",14,"1","Clarington",325119,85,"353736","61","197000","3","622000","1","160750","2","244777","15"
"167","01-2014",14,"1","Dufferin County",353038,29,"404129","17","293250","4","163000","1","287450","2","291400","5"
"168","01-2014",14,"1","Durham Region",395909,484,"452004","320","287476","45","263537","27","207940","20","309545","55"
"169","01-2014",14,"1","East Gwillimbury",580083,23,"608326","19","445925","4","-","-","-","-","-","-"
"170","01-2014",14,"1","Essa",293469,16,"294367","15","280000","1","-","-","-","-","-","-"
"171","01-2014",14,"1","Georgina",319254,35,"327223","31","-","-","197000","1","-","-","277667","3"
"172","01-2014",14,"1","Halton Hills",446145,44,"490194","33","-","-","228625","4","220500","1","386500","6"
"173","01-2014",14,"1","Halton Region",598553,336,"719559","196","501558","26","315638","26","335287","20","461421","63"
"174","01-2014",14,"1","Innisfil",416337,19,"428078","18","-","-","-","-","-","-","205000","1"
"175","01-2014",14,"1","King",908214,7,"948333","6","-","-","-","-","-","-","667500","1"
"176","01-2014",14,"1","Markham",656060,212,"919073","88","534666","12","486944","18","355547","48","566481","28"
"177","01-2014",14,"1","Milton",481061,92,"560598","48","436455","11","285000","4","310250","2","392400","26"
"178","01-2014",14,"1","Mississauga",473662,462,"726217","147","463619","71","372788","75","278269","145","457294","17"
"179","01-2014",14,"1","New Tecumseth",342163,26,"368806","18","230000","2","245000","1","265870","2","276000","1"
"180","01-2014",14,"1","Newmarket",497361,62,"561498","40","411833","6","282375","4","343900","4","425049","8"
"181","01-2014",14,"1","Oakville",730500,133,"899601","76","563350","10","346167","9","400593","8","549078","27"
"182","01-2014",14,"1","Orangeville",353038,29,"404129","17","293250","4","163000","1","287450","2","291400","5"
"183","01-2014",14,"1","Oshawa",310580,122,"358744","79","234347","19","203800","10","137900","6","267200","5"
"184","01-2014",14,"1","Peel Region",450724,910,"582246","390","418939","157","345070","104","269740","171","392405","76"
"185","01-2014",14,"1","Pickering",455835,57,"561703","33","369820","5","278363","8","249500","5","357000","4"
"186","01-2014",14,"1","Richmond Hill",759207,146,"947458","90","530429","7","395727","11","309219","16","572449","19"
"187","01-2014",14,"1","Scugog",388793,14,"388793","14","-","-","-","-","-","-","-","-"
"188","01-2014",14,"1","Simcoe County",382932,96,"401490","77","304000","7","245000","1","265870","2","309200","5"
"189","01-2014",14,"1","Toronto C01",486750,198,"978000","2","990438","5","528167","9","448697","172","753900","10"
"190","01-2014",14,"1","Toronto C02",939898,29,"1340009","2","1319019","7","835000","1","752556","16","822667","3"
"191","01-2014",14,"1","Toronto C03",1115281,27,"1645113","15","448100","5","-","-","502500","6","-","-"
"192","01-2014",14,"1","Toronto C04",1192860,43,"1398227","33","895000","3","-","-","352357","7","-","-"
"193","01-2014",14,"1","Toronto C06",560650,20,"745350","10","-","-","-","-","375950","10","-","-"
"194","01-2014",14,"1","Toronto C07",675429,65,"1142435","23","620667","3","386667","3","372522","32","671053","4"
"195","01-2014",14,"1","Toronto C08",486691,81,"1646333","3","962000","2","395000","1","417486","72","942500","2"
"196","01-2014",14,"1","Toronto C09",2007154,8,"2863059","4","1540000","1","-","-","1525000","1","-","-"
"197","01-2014",14,"1","Toronto C10",740183,27,"1144094","9","828700","3","-","-","480133","15","-","-"
"198","01-2014",14,"1","Toronto C11",714292,29,"1633750","10","-","-","221116","5","233671","14","-","-"
"199","01-2014",14,"1","Toronto C12",1555900,16,"2346675","8","-","-","795000","1","760857","7","-","-"
"200","01-2014",14,"1","Toronto C13",607820,35,"1297322","9","590667","3","275000","1","320690","20","892000","1"
"201","01-2014",14,"1","Toronto C14",620663,86,"1235090","22","-","-","667500","2","389418","60","752500","2"
"202","01-2014",14,"1","Toronto C15",520498,75,"1054781","16","610417","6","401739","10","336767","43","-","-"
"203","01-2014",14,"1","Toronto Central",669711,739,"1365705","166","851511","38","444590","33","425309","475","771510","22"
"204","01-2014",14,"1","Toronto E01",598379,35,"831075","8","616517","15","185000","1","428322","9","503509","2"
"205","01-2014",14,"1","Toronto E02",671703,32,"772688","8","645000","11","-","-","596667","6","662571","7"
"206","01-2014",14,"1","Toronto E03",595590,44,"689348","27","560823","8","-","-","191800","5","537000","4"
"207","01-2014",14,"1","Toronto E04",411013,44,"536553","19","467557","5","350250","6","179164","11","493333","3"
"208","01-2014",14,"1","Toronto E05",372976,43,"718500","8","508000","1","332550","6","247267","25","540000","1"
"209","01-2014",14,"1","Toronto E06",492795,19,"495406","15","628000","1","455000","1","454000","1","395000","1"
"210","01-2014",14,"1","Toronto E07",361854,37,"616450","8","568800","1","455000","1","218110","21","468225","4"
"211","01-2014",14,"1","Toronto E08",332665,23,"528467","6","428000","2","308750","6","170750","8","406000","1"
"212","01-2014",14,"1","Toronto E09",325694,82,"478967","30","450000","1","202667","6","228788","43","417000","2"
"213","01-2014",14,"1","Toronto E10",433398,32,"566834","19","365000","1","233000","5","160250","4","388950","2"
"214","01-2014",14,"1","Toronto E11",359351,43,"518873","15","375600","5","270563","8","184300","10","354125","4"
"215","01-2014",14,"1","Toronto East",435938,434,"587978","163","557273","51","289745","40","246633","143","500494","31"
"216","01-2014",14,"1","Toronto W01",474914,27,"873009","4","755500","2","396375","4","366715","17","-","-"
"217","01-2014",14,"1","Toronto W02",567937,19,"932500","4","580000","8","421667","3","288950","4","-","-"
"218","01-2014",14,"1","Toronto W03",463989,29,"461911","16","515456","9","-","-","240000","2","473000","2"
"219","01-2014",14,"1","Toronto W04",398748,33,"526653","15","521250","2","308700","5","185322","9","502500","2"
"220","01-2014",14,"1","Toronto W05",355556,67,"671378","9","448398","22","237846","13","209755","20","437008","1"
"221","01-2014",14,"1","Toronto W06",461210,56,"556830","15","-","-","-","-","403397","36","590600","5"
"222","01-2014",14,"1","Toronto W07",777536,14,"827000","10","-","-","-","-","654500","1","653667","3"
"223","01-2014",14,"1","Toronto W08",631617,64,"884986","33","-","-","261875","4","364288","26","700000","1"
"224","01-2014",14,"1","Toronto W09",362995,21,"623190","10","-","-","-","-","101450","10","376500","1"
"225","01-2014",14,"1","Toronto W10",288350,48,"448894","18","457500","2","198500","4","168821","24","-","-"
"226","01-2014",14,"1","Toronto West",456748,378,"661894","134","502497","45","282652","33","291593","149","558567","15"
"227","01-2014",14,"1","TRREB Total",526528,4135,"686688","1876","481970","421","341831","306","346369","1086","461468","371"
"228","01-2014",14,"1","Uxbridge",584963,16,"676125","12","305900","1","315000","1","263000","1","-","-"
"229","01-2014",14,"1","Vaughan",663039,170,"854490","85","541353","17","454667","3","386074","33","519725","29"
"230","01-2014",14,"1","Whitby",517678,93,"611263","63","262000","3","251833","3","270667","3","333711","14"
"231","01-2014",14,"1","Whitchurch-Stouffville",593358,41,"653443","32","-","-","-","-","253000","506000","415930","7"
"232","01-2014",14,"1","York Region",645454,729,"790434","413","509735","48","424244","41","358863","104","519368","99"
"233","01-2015",15,"01","Adjala-Tosorontio",415292,12,"415292","12","-","-","-","-","-","-","-","-"
"234","01-2015",15,"01","Ajax",442819,79,"516798","48","393580","5","300938","8","219929","7","389650","10"
"235","01-2015",15,"01","Aurora",683191,47,"753946","35","436000","2","-","-","467000","1","486989","9"
"236","01-2015",15,"01","Bradford West Gwillimbury",484778,33,"505544","27","406333","3","-","-","-","-","376333","3"
"237","01-2015",15,"01","Brampton",455957,428,"527214","232","415276","94","294112","17","218592","26","389477","55"
"238","01-2015",15,"01","Brock",285764,11,"285764","11","-","-","-","-","-","-","-","-"
"239","01-2015",15,"01","Burlington",514435,100,"673754","49","455485","8","362260","15","300182","22","457965","6"
"240","01-2015",15,"01","Caledon",567125,42,"620215","27","455278","9","-","-","-","-","495995","6"
"241","01-2015",15,"01","City of Toronto",581477,1561,"948713","451","667452","128","407922","103","382458","809","689142","52"
"242","01-2015",15,"01","City of Toronto Total",581477,1561,"948713","451","667452","128","407922","103","382458","809","689142","52"
"243","01-2015",15,"01","Clarington",368412,85,"412755","53","277972","4","232180","5","-","-","297058","12"
"244","01-2015",15,"01","Dufferin County",376603,38,"407031","29","287833","3","229500","1","164500","1","312375","4"
"245","01-2015",15,"01","Durham Region",408591,512,"453902","358","317066","30","259572","36","247096","28","353307","45"
"246","01-2015",15,"01","East Gwillimbury",464972,18,"478923","13","472500","3","-","-","-","-","363000","2"
"247","01-2015",15,"01","Essa",421989,9,"535600","5","287450","2","-","-","-","-","255000","1"
"248","01-2015",15,"01","Georgina",350490,34,"353295","31","379500","1","-","-","-","-","292500","2"
"249","01-2015",15,"01","Halton Hills",507875,32,"551582","22","441300","4","382500","2","350000","1","412333","3"
"250","01-2015",15,"01","Halton Region",616956,371,"770275","202","468195","26","371914","40","374854","41","484885","60"
"251","01-2015",15,"01","Innisfil",330379,29,"339596","26","-","-","-","-","-","-","250500","3"
"252","01-2015",15,"01","King",835079,19,"931200","15","-","-","-","-","348500","2","701500","1"
"253","01-2015",15,"01","Markham",711078,189,"989454","81","642228","14","475561","23","348721","42","661786","21"
"254","01-2015",15,"01","Milton",467073,92,"547065","40","465273","11","301236","7","261375","4","425259","29"
"255","01-2015",15,"01","Mississauga",497003,500,"761900","171","496998","65","362859","84","285612","163","514376","13"
"256","01-2015",15,"01","New Tecumseth",399753,31,"435764","24","273000","1","274000","2","-","-","221500","2"
"257","01-2015",15,"01","Newmarket",553661,74,"626648","49","469700","7","399133","3","298914","7","460938","8"
"258","01-2015",15,"01","Oakville",804248,147,"973232","91","548667","3","410563","16","526393","14","580718","22"
"259","01-2015",15,"01","Orangeville",376603,38,"407031","29","287833","3","229500","1","164500","1","312375","4"
"260","01-2015",15,"01","Oshawa",332987,143,"357756","111","274229","14","203827","11","153500","3","341100","4"
"261","01-2015",15,"01","Peel Region",481928,970,"626383","430","449038","168","351288","101","276392","189","420055","74"
"262","01-2015",15,"01","Pickering",506160,61,"615034","38","414500","2","264300","7","312489","9","412500","4"
"263","01-2015",15,"01","Richmond Hill",714430,173,"985421","79","577510","10","435327","11","323878","32","598230","36"
"264","01-2015",15,"01","Scugog",596201,15,"614151","14","-","-","-","-","-","-","-","-"
"265","01-2015",15,"01","Simcoe County",410109,114,"431905","94","344483","6","274000","2","-","-","286500","9"
"266","01-2015",15,"01","Toronto C01",458373,212,"965000","2","947063","6","377500","4","429569","192","696938","8"
"267","01-2015",15,"01","Toronto C02",1099693,43,"2003611","8","739250","8","528000","1","887395","20","1483875","4"
"268","01-2015",15,"01","Toronto C03",1041299,27,"1223387","19","798333","3","-","-","495141","5","-","-"
"269","01-2015",15,"01","Toronto C04",1155861,31,"1603363","16","1410000","1","-","-","652325","12","730000","1"
"270","01-2015",15,"01","Toronto C06",734568,22,"910151","14","-","-","555888","1","408929","7","-","-"
"271","01-2015",15,"01","Toronto C07",649124,63,"1125659","22","660000","1","446150","6","368345","33","638000","1"
